state,amount
AK,1310
AL,319
AP,250
AR,700
AZ,5585
CA,109827.03
CO,16740
CT,20605
DC,51390.42
DE,5200
FL,39694.55
GA,22868.22
HI,3005
IA,110
ID,225
IL,13071.35
IN,863.3
KS,25
KY,875
LA,925
MA,19224.09
MD,18523.62
ME,5472
MI,14099
MN,3069.55
MO,8505
MS,140
MT,200
ND,700
NE,30
NJ,13792.3
NM,11150
NV,1090
NY,207679.31
OH,8032.85
OK,915
ON,200
OR,1050
PA,23015
RI,400
SC,21462.13
SD,500
TN,24317.45
TX,10041.2
UT,3343
VA,38416.75
VI,5
VT,1662
WA,14151
WI,5565
WV,355
WY,1150