Row Labels,Sum of Amount,,,,,
AL,3580,,,,,
AR,4700,,,,,
AZ,5100,,,,,
CA,21960,,,,,
CO,10495,,,,,
CT,5500,,,,,
DC,32700,,,,,
DE,1000,,,,,
FL,109841,,,,,
GA,69491.16,,,,,
ID,300,,,,,
IL,26631,,,,,
IN,5230,,,,,
KS,5165,,,,,
KY,5350,,,,,
LA,5000,,,,,
MA,1000,,,,,
MD,11254,,,,,
MI,62700,,,,,
MN,1000,,,,,
MO,15550,,,,,
MS,5750,,,,,
NC,4564424.22,,,,,
NE,10300,,,,,
NH,80,,,,,
NJ,618,,,,,
NM,500,,,,,
NV,2699,,,,,14005644.32
NY,16580,,,,,1356768.1
OH,6240,,,,,
PA,6250,,,,,0.096872951
PR,2500,,,,,
SC,21575.94,,,,,
TN,19300,,,,,
TX,49275,,,,,
VA,52132,,,,,
WA,1100,,,,,
WI,85,,5169056.32,,,
WV,1000,,604632.1,,,
WY,5100,,,,,
(blank),5171766.32,,,,,
Grand Total,10340822.64,,,,,